Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","SM0805",0.000000,2.650000,270.000000,top
"C2","1uF","SM0402_POL",-0.250000,-0.075000,90.000000,top
"C3","0.1uF","SM0402",-0.250000,-0.150000,90.000000,top
"C4","1uF","SM0402_POL",-3.800000,0.600000,0.000000,top
"C5","47nF","SM0402",-3.650000,0.375000,0.000000,top
"C6","1uF","SM0402_POL",-2.775000,2.675000,270.000000,top
"C7","47nF","SM0402",-3.000000,2.525000,270.000000,top
"C8","1uF","SM0402_POL",-0.700000,1.650000,180.000000,top
"C9","47nF","SM0402",-0.850000,1.875000,180.000000,top
"C10","1uF","SM0402_POL",1.725000,2.675000,270.000000,top
"C11","47nF","SM0402",1.500000,2.525000,270.000000,top
"C12","1uF","SM0402_POL",3.800000,1.650000,180.000000,top
"C13","47nF","SM0402",3.650000,1.875000,180.000000,top
"C14","1uF","SM0402_POL",2.775000,-0.425000,90.000000,top
"C15","47nF","SM0402",3.000000,-0.275000,90.000000,top
"C16","1uF","SM0402_POL",2.775000,-2.675000,90.000000,top
"C17","47nF","SM0402",3.000000,-2.525000,90.000000,top
"C18","1uF","SM0402_POL",1.725000,0.425000,270.000000,top
"C19","47nF","SM0402",1.500000,0.275000,270.000000,top
"C20","1uF","SM0402_POL",0.700000,-1.650000,0.000000,top
"C21","47nF","SM0402",0.850000,-1.875000,0.000000,top
"C22","1uF","SM0402_POL",-1.725000,-2.675000,90.000000,top
"C23","47nF","SM0402",-1.500000,-2.525000,90.000000,top
"C24","1uF","SM0402_POL",-3.800000,-1.650000,0.000000,top
"C25","47nF","SM0402",-3.650000,-1.875000,0.000000,top
"C26","1uF","SM0402_POL",-0.700000,-0.600000,180.000000,top
"C27","47nF","SM0402",-0.850000,-0.375000,180.000000,top
"D2","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",0.150000,2.775000,0.000000,top
"D3","DIODE_SCHOTTKY_0402","SM0402_POL",-3.425000,0.900000,0.000000,top
"D4","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-3.425000,0.700000,90.000000,top
"D5","DIODE_SCHOTTKY_0402","SM0402_POL",-2.475000,2.300000,270.000000,top
"D6","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-2.675000,2.300000,0.000000,top
"D7","DIODE_SCHOTTKY_0402","SM0402_POL",-1.075000,1.350000,180.000000,top
"D8","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-1.075000,1.550000,270.000000,top
"D9","DIODE_SCHOTTKY_0402","SM0402_POL",2.025000,2.300000,270.000000,top
"D10","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",1.825000,2.300000,0.000000,top
"D11","DIODE_SCHOTTKY_0402","SM0402_POL",3.425000,1.350000,180.000000,top
"D12","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",3.425000,1.550000,270.000000,top
"D13","DIODE_SCHOTTKY_0402","SM0402_POL",2.475000,-0.050000,90.000000,top
"D14","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",2.675000,-0.050000,180.000000,top
"D15","DIODE_SCHOTTKY_0402","SM0402_POL",2.475000,-2.300000,90.000000,top
"D16","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",2.675000,-2.300000,180.000000,top
"D17","DIODE_SCHOTTKY_0402","SM0402_POL",2.025000,0.050000,270.000000,top
"D18","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",1.825000,0.050000,0.000000,top
"D19","DIODE_SCHOTTKY_0402","SM0402_POL",1.075000,-1.350000,0.000000,top
"D20","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",1.075000,-1.550000,90.000000,top
"D21","DIODE_SCHOTTKY_0402","SM0402_POL",-2.025000,-2.300000,90.000000,top
"D22","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-1.825000,-2.300000,180.000000,top
"D23","DIODE_SCHOTTKY_0402","SM0402_POL",-3.425000,-1.350000,0.000000,top
"D24","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-3.425000,-1.550000,90.000000,top
"D25","DIODE_SCHOTTKY_0402","SM0402_POL",-1.075000,-0.900000,180.000000,top
"D26","DIODE_LOW_REV_CURRENT_0402","SM0402_POL",-1.075000,-0.700000,270.000000,top
"R1","2.2k","SM0402",0.075000,2.775000,0.000000,top
"R2","2.2k","SM0402",-0.150000,-0.250000,180.000000,top
"R3","2.2k","SM0402",0.075000,-0.250000,180.000000,top
"R4","47k","SM0402",0.150000,-0.250000,180.000000,top
"R5","47k","SM0402",-0.075000,-0.250000,180.000000,top
"R6","137k","SM0402",-3.750000,0.375000,0.000000,top
"R7","205k","SM0402",-3.550000,0.375000,0.000000,top
"R8","2.2k","SM0402",-3.425000,0.625000,90.000000,top
"R9","20k","SM0402",-0.250000,0.075000,90.000000,top
"R10","137k","SM0402",-3.000000,2.625000,270.000000,top
"R11","205k","SM0402",-3.000000,2.425000,270.000000,top
"R12","2.2k","SM0402",-2.750000,2.300000,0.000000,top
"R13","20k","SM0402",-0.250000,0.150000,90.000000,top
"R14","137k","SM0402",-0.750000,1.875000,180.000000,top
"R15","205k","SM0402",-0.950000,1.875000,180.000000,top
"R16","2.2k","SM0402",-1.075000,1.625000,270.000000,top
"R17","20k","SM0402",-0.150000,0.250000,0.000000,top
"R18","137k","SM0402",1.500000,2.625000,270.000000,top
"R19","205k","SM0402",1.500000,2.425000,270.000000,top
"R20","2.2k","SM0402",1.750000,2.300000,0.000000,top
"R21","20k","SM0402",-0.075000,0.250000,0.000000,top
"R22","137k","SM0402",3.750000,1.875000,180.000000,top
"R23","205k","SM0402",3.550000,1.875000,180.000000,top
"R24","2.2k","SM0402",3.425000,1.625000,270.000000,top
"R25","20k","SM0402",0.000000,0.250000,0.000000,top
"R26","137k","SM0402",3.000000,-0.375000,90.000000,top
"R27","205k","SM0402",3.000000,-0.175000,90.000000,top
"R28","2.2k","SM0402",2.750000,-0.050000,180.000000,top
"R29","20k","SM0402",0.075000,0.250000,0.000000,top
"R30","137k","SM0402",3.000000,-2.625000,90.000000,top
"R31","205k","SM0402",3.000000,-2.425000,90.000000,top
"R32","2.2k","SM0402",2.750000,-2.300000,180.000000,top
"R33","20k","SM0402",0.150000,0.250000,0.000000,top
"R34","137k","SM0402",1.500000,0.375000,270.000000,top
"R35","205k","SM0402",1.500000,0.175000,270.000000,top
"R36","2.2k","SM0402",1.750000,0.050000,0.000000,top
"R37","20k","SM0402",0.250000,0.150000,270.000000,top
"R38","137k","SM0402",0.750000,-1.875000,0.000000,top
"R39","205k","SM0402",0.950000,-1.875000,0.000000,top
"R40","2.2k","SM0402",1.075000,-1.625000,90.000000,top
"R41","20k","SM0402",0.250000,0.075000,270.000000,top
"R42","137k","SM0402",-1.500000,-2.625000,90.000000,top
"R43","205k","SM0402",-1.500000,-2.425000,90.000000,top
"R44","2.2k","SM0402",-1.750000,-2.300000,180.000000,top
"R45","20k","SM0402",0.250000,0.000000,270.000000,top
"R46","137k","SM0402",-3.750000,-1.875000,0.000000,top
"R47","205k","SM0402",-3.550000,-1.875000,0.000000,top
"R48","2.2k","SM0402",-3.425000,-1.625000,90.000000,top
"R49","20k","SM0402",0.250000,-0.075000,270.000000,top
"R50","137k","SM0402",-0.750000,-0.375000,180.000000,top
"R51","205k","SM0402",-0.950000,-0.375000,180.000000,top
"R52","2.2k","SM0402",-1.075000,-0.625000,270.000000,top
"R53","20k","SM0402",0.250000,-0.150000,270.000000,top
"U1","AT42QT2120-MMHR","QFN-20-1EP_3x3mm_P0.45mm_EP1.6x1.6mm",0.000000,0.000000,270.000000,top
